Total As Is;2008;2009;2010;2011;2012;2013;2014
Jan;2313221;2610573;2760688;3112861;3093088;4119526;4308161
Feb;1950131;2371327;2918333;2926663;3679308;3535744;4155378
Mar;2346635;2743786;3227041;3294784;3433364;3560974;3924332
Apr;2039787;2125308;1613888;2577079;2714899;3760065;3659121
May;1756964;1850073;2550157;2774068;3011767;2959933;3898758
Jun;1458302;1836222;2317645;2378227;2726028;2787898;3313891
Jul;1679637;1797311;1474144;2222900;2483834;2828744;3595106
Aug;1639670;1851968;2148521;2991787;3055655;3084113;3502426
Sep;2882886;3271171;3898571;4151531;4200796;5107775;5619059
Oct;2959716;2818888;3348953;3318684;4228724;4562144;5274287
Nov;2596494;3310776;3135945;4037076;4618540;4729313;4841693
Dec;2656568;3022513;3332886;3429843;3383673;4372181;4664854
;;;;;;;
Efak As Is;2008;2009;2010;2011;2012;2013
Jan;416589;430055;508177;778643;849409;1065097
Feb;472565;468187;601115;726254;1021474;952195
Mar;466539;648582;775996;943274;1034025;1062892
Apr;370774;414990;323532;845136;904449;1057988
May;457741;466329;672011;1030397;986452;1127932
Jun;384817;465775;589895;829198;1011487;933365
Jul;464502;430988;438340;741981;862239;1069867
Aug;389013;502499;483363;820385;1026357;1020078
Sep;508370;584983;630064;851428;898892;1049970
Oct;495598;506877;608942;873895;1079994;1197452
Nov;529191;593705;688055;996616;1259730;1283970
Dec;441545;641582;693058;941611;986962;1280835
;;;;;;;
Wuge As Is;2008;2009;2010;2011;2012;2013
Jan;414571;462768;525307;507281;545966;752685
Feb;344579;393940;515202;564342;632103;708242
Mar;429907;458486;581672;684259;619301;719168
Apr;379606;401535;340651;487103;602511;787368
Mai;305697;367847;565867;601078;609931;574721
Jun;314582;373210;450257;507467;574084;643629
Jul;346800;351526;378953;504952;510154;628135
Aug;323618;358676;459746;655479;663220;718542
Sep;578252;589599;792018;864312;827807;923583
Oct;510031;501149;616164;636096;824506;934234
Nov;431480;586040;620973;787231;855732;886772
Dec;489935;659757;750844;712204;691108;948935
;;;;;;;
Total Etel As Is;2008;2009;2010;2011;2012;2013
Jan;1279668;1583216;1637464;1595267;1519748;2109497
Feb;1053325;1407388;1676161;1473528;1812897;1738197
Mar;1367520;1420801;1549560;1469728;1607280;1633944
Apr;1090725;1141100;813469;1034650;1008022;1745092
May;873568;919860;1198401;952553;1291983;1039449
Jun;644479;858876;1140024;819303;940158;1054201
Jul;772658;910134;551268;802076;945929;1003166
Aug;806741;843050;1012542;1222812;1235146;1154675
Sep;1715265;1981563;2335488;2303271;2330334;3000929
Oct;1795751;1647934;1856264;1591584;2177895;2305605
Nov;1518288;1857836;1678123;1960675;2306324;2284672
Dec;1601324;1615091;1699063;1713991;1618147;2062160
;;;;;;;
Blue Etel As Is;2008;2009;2010;2011;2012;2013
Jan;425892;407424;369783;308893;285207;387497
Feb;316631;287654;345144;282106;450874;349013
Mar;353512;305158;322695;347124;360034;334274
Apr;278711;255687;223841;261498;252674;325052
May;212940;200068;239441;217606;247734;255416
Jun;187849;210118;240316;208258;221676;237019
Jul;206285;211668;138604;174878;216918;239047
Aug;195810;198472;231179;247714;254993;358552
Sep;448733;361703;329090;312012;299658;359703
Oct;403327;366410;368584;331926;457595;427681
Nov;306171;350196;320947;389858;388917;434561
Dec;345955;351651;373302;299115;303450;348558
;;;;;;;
Red Etel As Is;2008;2009;2010;2011;2012;2013
Jan;853776;1175792;1267682;1286374;1234541;1722000
Feb;736694;1119734;1331017;1191422;1362023;1389184
Mar;1014008;1115643;1226866;1122604;1247246;1299670
Apr;812014;885413;589628;773151;755347;1420039
May;660628;719792;958960;734947;1044249;784033
Jun;456630;648758;899709;611045;718482;817182
Jul;566373;698466;412664;627198;729011;764120
Aug;610931;644578;781363;975098;980154;796123
Sep;1266532;1619860;2006398;1991259;2030676;2641226
Oct;1392424;1281524;1487680;1259658;1720301;1877924
Nov;1212117;1507640;1357176;1570817;1917408;1850111
Dec;1255369;1263440;1325761;1414876;1314697;1713603
;;;;;;;
Total yearly Exports As Is;2008;2009;2010;2011;2012;2013
Jan;26280011;29609916;32726772;37215503;40629676;45408410
Feb;26280011;29609916;32726772;37215503;40629676;45408410
Mar;26280011;29609916;32726772;37215503;40629676;45408410
Apr;26280011;29609916;32726772;37215503;40629676;45408410
May;26280011;29609916;32726772;37215503;40629676;45408410
Jun;26280011;29609916;32726772;37215503;40629676;45408410
Jul;26280011;29609916;32726772;37215503;40629676;45408410
Aug;26280011;29609916;32726772;37215503;40629676;45408410
Sep;26280011;29609916;32726772;37215503;40629676;45408410
Oct;26280011;29609916;32726772;37215503;40629676;45408410
Nov;26280011;29609916;32726772;37215503;40629676;45408410
Dez;26280011;29609916;32726772;37215503;40629676;45408410
;;;;;;;
