Total Plan;2008;2009;2010;2011;2012;2013;2014
Jan;2243103;2547980;2965885;3113110;3895396;3580325;4474000
Feb;2162705;2247049;2751170;2883766;3588151;3863212;4185565
Mar;2720911;2731156;2906493;2957893;3787240;3606083;4278119
Apr;2011182;2020158;2383358;2601648;3036434;3213575;3985542
May;1877757;2098038;2246893;2370949;2907891;3139128;3605973
Jun;1819924;1927995;1992851;2339881;2707822;2998610;3515173
Jul;1682196;1783692;2023434;2105328;2619486;2785453;3269444
Aug;1893171;1907705;2244997;2341623;3784557;3083654;3656112
Sep;3325711;3124040;3257717;4086297;4987460;5143757;5637391
Oct;2662148;3102251;3536338;3640827;4367319;4149334;5157781
Nov;2909966;3154669;3358206;3502334;4205772;4495212;5353458
Dec;2574633;2742367;3112906;3280476;4059533;4093664;4703185
;;;;;;;
Coffee Plan;2008;2009;2010;2011;2012;2013
Jan;492421;450498;506991;646987;1057786;940156
Feb;444995;380959;550412;652598;1006335;1094548
Mar;665274;592616;629309;778405;1260206;1053751
Apr;444369;400839;468600;717677;1006509;1072364
May;487668;471523;535435;684701;979754;1061436
Jun;445242;405564;475326;639433;985549;1077276
Jul;443318;401100;482147;659271;964181;984463
Aug;501222;444250;466887;652132;1027988;1010619
Sep;546249;488899;532164;736826;1090561;1083541
Oct;553286;584729;543650;774047;1151231;1089769
Nov;664734;659061;662090;791780;1222188;1151019
Dec;560104;512219;527275;823396;1148541;1044125
;;;;;;;
Spices Plan;2008;2009;2010;2011;2012;2013
Jan;424190;443454;685504;593024;665434;670157
Feb;388688;381571;559040;570173;657383;673123
Mar;457796;471631;590397;552269;706987;727908
Apr;363828;393075;566135;522050;601083;680251
May;364246;379443;448967;458092;604292;687880
Jun;358439;360120;442838;475669;571937;702883
Jul;321255;337682;423206;451094;575704;623366
Aug;370153;381164;458609;602954;802634;694089
Sep;645618;597557;651525;751102;911343;1029222
Oct;470648;511889;598009;736236;830770;853935
Nov;529375;573453;575012;681492;814818;889003
Dec;448355;478396;544435;693967;870857;842765
;;;;;;;
Tea Total Plan;2008;2009;2010;2011;2012;2013
Jan;1263613;1546801;1648769;1781991;2070256;1864733
Feb;1231125;1378217;1490577;1564272;1731099;1837228
Mar;1489621;1563799;1538493;1455531;1663266;1663834
Apr;1051346;1166229;1208636;1257528;1232994;1305603
May;933392;1057223;1104777;1134418;1164076;1172373
Jun;932047;983279;931127;1018200;1018137;1089115
Jul;855520;913751;916160;843336;932241;1074687
Aug;923070;980703;1096933;974375;1800576;1217930
Sep;2080877;1974166;1832882;2435674;2823873;2916115
Oct;1575579;1886971;2103588;1972649;2224655;2043888
Nov;1561956;1839155;1877929;1873075;2025003;2199880
Dec;1515127;1727567;1862684;1684766;1955509;2133214
;;;;;;;
Loose Tea Plan;2008;2009;2010;2011;2012;2013
Jan;449227;394188;388677;412463;481147;360982
Feb;373663;320490;317587;323577;412798;342370
Mar;415732;351375;306376;313230;364106;346868
Apr;331337;271021;275940;276210;311291;277548
May;290942;225914;235850;249768;283279;251623
Jun;287603;234600;224371;217911;286839;257153
Jul;245390;191342;204869;209229;249233;232752
Aug;284540;226507;220570;219002;288342;252611
Sep;554127;519935;357203;365415;399167;494843
Oct;467772;512283;413862;421679;524838;445720
Nov;469089;456203;357645;359800;399038;414612
Dec;409962;376595;364243;343171;415564;401854
;;;;;;;
Teabag Plan;2008;2009;2010;2011;2012;2013
Jan;814386;1152613;1260092;1369528;1589109;1503751
Feb;857462;1057727;1172990;1240695;1318301;1494858
Mar;1073889;1212424;1232117;1142301;1299159;1316966
Apr;720009;895208;932696;981318;921703;1028055
May;642450;831309;868927;884650;880796;920750
Jun;644444;748679;706756;800289;731299;831961
Jul;610130;722409;711291;634107;683008;841936
Aug;638530;754196;876363;755372;1512234;965319
Sep;1526750;1454231;1475679;2070259;2424705;2421272
Oct;1107807;1374688;1689726;1550970;1699817;1598167
Nov;1092867;1382952;1520284;1513274;1625965;1785268
Dec;1105165;1350972;1498441;1341595;1539945;1731360
;;;;;;;
Total yearly sales Plan;2008;2009;2010;2011;2012;2013
Jan;27883407;29387100;32780247;35224132;43947063;44152007
Feb;27883407;29387100;32780247;35224132;43947063;44152007
Mar;27883407;29387100;32780247;35224132;43947063;44152007
Apr;27883407;29387100;32780247;35224132;43947063;44152007
May;27883407;29387100;32780247;35224132;43947063;44152007
Jun;27883407;29387100;32780247;35224132;43947063;44152007
Jul;27883407;29387100;32780247;35224132;43947063;44152007
Aug;27883407;29387100;32780247;35224132;43947063;44152007
Sep;27883407;29387100;32780247;35224132;43947063;44152007
Oct;27883407;29387100;32780247;35224132;43947063;44152007
Nov;27883407;29387100;32780247;35224132;43947063;44152007
Dec;27883407;29387100;32780247;35224132;43947063;44152007
